Date,Day of Week,Lecture_No,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total Enrolled Students,Students Present,Attendence Percentage,Previous Lecture Attendence,Gap Since Previous Lecture,Practical/ Theory,Internal Test Week,Assignment Due,Holiday Before/ After,Special Event,Weather,Faculty Experience,Start Time Minutes,End Time Minutes,Day of Semester,Week Number,Days Since Last Holiday,Consecutive Lecture Count (Day),Previous Lecture Attendance,Rolling Avg Attendance (Prev 3),Historical Avg Attendance,Monthly Avg Attendance,Macro Historical Avg Attendance,Lunch Time Slot,Week Before Exam
2026-06-15,Monday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,46,44.66,,0.0,Theory,No,No,Yes,No,Rainy,8,555,615,1,1,,1,,,,,,Before Lunch,0
2026-06-15,Monday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,50,49.02,,0.0,Theory,No,No,Yes,No,Rainy,8,555,615,1,1,,1,,,,,44.66,Before Lunch,0
2026-06-15,Monday,2,10.15 AM,11.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,43,41.75,44.66,0.0,Theory,No,No,Yes,No,Rainy,8,615,675,1,1,0.0,2,44.66,44.66,44.66,44.66,46.84,Before Lunch,0
2026-06-15,Monday,2,10.15 AM,11.15 AM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,47,46.08,49.02,0.0,Theory,No,No,Yes,No,Rainy,8,615,675,1,1,0.0,2,49.02,49.02,49.02,49.02,45.14333333333334,Before Lunch,0
2026-06-15,Monday,3,11.15 AM,12.15 PM,Lab Session,,3,MCA,A,Computer Lab,103,80,77.67,,0.0,Practical,No,No,Yes,No,Rainy,0,675,735,1,1,0.0,3,,,,,45.3775,Before Lunch,0
2026-06-15,Monday,3,11.15 AM,12.15 PM,Lab Session,,3,MCA,B,Computer Lab,102,83,81.37,,0.0,Practical,No,No,Yes,No,Rainy,0,675,735,1,1,0.0,3,,,,,51.836,Before Lunch,0
2026-06-15,Monday,4,01.30 PM,02.30 PM,Guest Session on Generative AI Development,GUEST_EXT,3,MCA,A,Seminar Hall,103,75,72.82,,1.25,Theory,No,No,Yes,No,Rainy,15,810,870,1,1,0.0,4,,,,,56.75833333333333,After Lunch,0
2026-06-15,Monday,4,01.30 PM,02.30 PM,Guest Session on Generative AI Development,GUEST_EXT,3,MCA,B,Seminar Hall,102,79,77.45,,1.25,Theory,No,No,Yes,No,Rainy,15,810,870,1,1,0.0,4,,,,,59.05285714285714,After Lunch,0
2026-06-15,Monday,5,02.30 PM,03.30 PM,Guest Session on Generative AI Development,GUEST_EXT,3,MCA,A,Seminar Hall,103,75,72.82,72.82,0.0,Theory,No,No,Yes,No,Rainy,15,870,930,1,1,0.0,5,72.82,72.82,72.82,72.82,61.3525,After Lunch,0
2026-06-15,Monday,5,02.30 PM,03.30 PM,Guest Session on Generative AI Development,GUEST_EXT,3,MCA,B,Seminar Hall,102,79,77.45,77.45,0.0,Theory,No,No,Yes,No,Rainy,15,870,930,1,1,0.0,5,77.45,77.45,77.45,77.45,62.626666666666665,After Lunch,0
2026-06-16,Tuesday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,44,42.72,41.75,0.0,Theory,No,No,No,No,Cloudy,8,555,615,2,1,1.0,1,41.75,43.205,43.205,43.205,64.10900000000001,Before Lunch,0
2026-06-16,Tuesday,1,09.15 AM,10.15 AM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,49,48.04,46.08,0.0,Theory,No,No,No,No,Cloudy,8,555,615,2,1,1.0,1,46.08,47.55,47.55,47.55,62.16454545454545,Before Lunch,0
2026-06-16,Tuesday,2,10.15 AM,11.15 AM,Soft Skill,SD,3,MCA,A,Seminar Hall,103,46,44.66,42.72,0.0,Theory,No,No,No,No,Cloudy,8,615,675,2,1,1.0,2,42.72,43.04333333333333,43.04333333333333,43.04333333333333,60.987500000000004,Before Lunch,0
2026-06-16,Tuesday,2,10.15 AM,11.15 AM,Soft Skill,SD,3,MCA,B,Seminar Hall,102,42,41.18,48.04,0.0,Theory,No,No,No,No,Cloudy,8,615,675,2,1,1.0,2,48.04,47.71333333333333,47.71333333333333,47.71333333333333,59.73153846153846,Before Lunch,0
